No,Kategori Inventaris,Asset Name,Code,Serial Number,User,Username,Department,Condition,Date,Purchase Date,Updated By,Note
217,Phone,SAMSUNG GALAXY A05 - GREEN,006-B/VIII/2024,R9CX704C6YT,Unknown,,Unknown,Good,2024-08-15,2026-06-03,IT Administrator,-
218,Phone,SAMSUNG GALAXY A05 - SILVER,007-B/VIII/2024,R9CX704C8MR,Unknown,,Unknown,Good,2024-08-15,2026-08-13,IT Administrator,-
219,Phone,SAMSUNG GALAXY A05 - GREEN,002-B/X/2024,R9CX4046X1P,Unknown,,Unknown,Good,2024-10-31,2026-05-31,IT Administrator,-
220,Phone,Samsung Galaxy A06 4/64 - BLACK,006-B/X/2024,R9RX803PKQX,Unknown,,Unknown,Good,2024-11-03,2026-07-02,IT Administrator,-
221,Phone,Samsung Galaxy A06 4/64 - BLACK,003-B/X/2024,R9RX804EEYR,Unknown,,Unknown,Good,2024-10-31,2026-05-13,IT Administrator,-
222,Phone,Samsung Galaxy A06 4/64 - BLACK,004-B/X/2024,R9RX804CQKH,Unknown,,Unknown,Good,2024-11-01,2026-08-03,IT Administrator,-
223,Phone,Samsung Galaxy A06 4/64 - BLACK,005-B/X/2024,R9RX804EQBP,Unknown,,Unknown,Good,2024-11-02,2026-08-03,IT Administrator,-
224,Phone,Samsung Galaxy A06 4/64 - BLACK,007-B/X/2024,R9RX803TBRA,Unknown,,Unknown,Good,2024-11-04,2026-07-06,IT Administrator,-
225,Phone,Samsung Galaxy S21,001-B/XI/2024,RRCR9003X4W,Unknown,,Unknown,Good,2026-09-14,2024-11-25,IT Administrator,-
226,Phone,Samsung Galaxy A06 4/64 - BLACK,002-B/XI/2024,R9RX904AQ1F,Unknown,,Unknown,Good,2024-11-25,2026-08-13,IT Administrator,-
227,Phone,Samsung Galaxy A06 4/64 - BLACK,001-B/XII/2024,R9RXA01TCJR,Unknown,,Unknown,Good,2024-12-06,2026-06-01,IT Administrator,-
228,Phone,Samsung Galaxy A06 4/64 - BLACK,002-B/XII/2024,R9RXA01GBCD,Unknown,,Unknown,Good,2024-12-06,2026-06-01,IT Administrator,-
229,Phone,Samsung Galaxy A55,003-B/XII/2024,RRCXA064Y5W,Unknown,,Unknown,Good,2024-12-06,2026-07-02,IT Administrator,-
230,Phone,Samsung Galaxy A55,001-B/I/2025,RRCXC02PLCH,Unknown,,Unknown,Good,2024-12-06,2026-08-04,IT Administrator,-
231,Phone,Samsung Galaxy A06 4/64 - BLACK,002-B/I/2025,R9RXB01RPLH,Unknown,,Unknown,Good,2025-01-10,2026-08-07,IT Administrator,-
232,Phone,Samsung Galaxy A06 4/64 - BLACK,001-B/II/2025,R9RY1020ZQX,Unknown,,Unknown,Good,2025-02-03,2026-05-26,IT Administrator,-
233,Phone,Samsung Galaxy A06 4/64 - BLACK,002-B/II/2025,R9RY104VEDF,Unknown,,Unknown,Good,2025-02-03,2026-05-26,IT Administrator,-
234,Phone,SAMSUNG GALAXY A05 - SILVER,002-B/V/2024,R9CX400QEXE,Unknown,,Unknown,Good,2024-05-06,2026-07-02,IT Administrator,-
235,Phone,SAMSUNG GALAXY A05 - GREEN,007-B/III/2024,R9CWC047E3Т,Unknown,,Unknown,Good,2024-03-19,2026-07-02,IT Administrator,-
236,Phone,Samsung Galaxy A04 4/64,023-B/VI/2022-3,R9CTA02699W,Unknown,,Unknown,Good,2026-09-14,2026-07-02,IT Administrator,-
237,Phone,SAMSUNG GALAXY A04 - BLACK,068-B/VI/2023,R9CW601FE7V,Unknown,,Unknown,Good,2023-07-16,2026-08-07,IT Administrator,-
238,Phone,Samsung Galaxy A06 4/64 - BLACK,004-B/II/2025,R9RXB04P9TN,Unknown,,Unknown,Good,2025-04-23,2026-05-31,IT Administrator,-
239,Phone,SAMSUNG GALAXY A04 - BLACK,072-B/VI/2023,R9CW601EWSP,Unknown,,Unknown,Good,2023-07-20,2026-07-29,IT Administrator,-
240,Phone,Samsung Galaxy A55,005-B/II/2025,RRCY107PH9K,Unknown,,Unknown,Good,2025-04-23,2026-08-06,IT Administrator,-
241,Phone,Samsung Galaxy A06 4/64 - BLACK,003-B/II/2025,R9RXB04T4LF,Unknown,,Unknown,Good,2025-04-28,2026-06-03,IT Administrator,-
242,Phone,Samsung Galaxy A06 4/64 - BLACK,007-B/II/2025,R9RY10233WR,Unknown,,Unknown,Good,2025-06-25,2026-07-02,IT Administrator,-
243,Phone,Samsung Galaxy A55,006-B/II/2025,RRCY107PHHR,Unknown,,Unknown,Good,2025-07-04,2026-08-07,IT Administrator,-
244,Phone,SAMSUNG GALAXY A04E - LIGHT BLUE,009-B/XI/2023,R9RW900WXXX,Unknown,,Unknown,Good,2023-11-14,2026-08-07,IT Administrator,-
245,Phone,Samsung Galaxy A07 4/64,001-B/IX/2025,R9RY8023KKN,Unknown,,Unknown,Good,2025-09-12,2026-08-07,IT Administrator,-
246,Phone,Samsung Galaxy A07 4/64,002-B/IX/2025,R9RY909T8WE,Unknown,,Unknown,Good,2025-09-12,2026-07-02,IT Administrator,-
247,Phone,IPHONE 11 128GB - BLACK,004-B/VII/2024,DX3MK2C8N73D,Unknown,,Unknown,Good,2024-07-23,2026-07-03,IT Administrator,-
248,Phone,Samsung Galaxy A07 4/64,001-B/XII/2025,R9RY908WVHD,Unknown,,Unknown,Good,2025-12-18,2026-07-02,IT Administrator,-
249,Phone,SAMSUNG GALAXY A05 - BLACK,004-B/VIII/2024,R9CX4038GAL,Unknown,,Unknown,Good,2024-08-15,2026-07-03,IT Administrator,-
250,Phone,IPHONE 14,004-B/IV/2026,YMW9HM7DWM,Unknown,,Unknown,Good,2026-09-14,2026-08-03,IT Administrator,-
251,Phone,IPHONE 12,005-B/IV/2026,FFXHH0PP0F0V,Unknown,,Unknown,Good,2026-09-14,2026-06-18,IT Administrator,-
252,Phone,SAMSUNG GALAXY A04 - GREEN,003-B/IX/2023,R9CW60095ZY,Unknown,,Unknown,Good,2023-09-12,2026-07-03,IT Administrator,-
253,Phone,SAMSUNG GALAXY A07 BLACK 4/64,001-B/III/2026,R9RL2041NXY,Unknown,,Unknown,Good,2026-03-20,2026-07-06,IT Administrator,-
254,Phone,SAMSUNG GALAXY A07 BLACK 4/64,002/B/III/2026,R9RL203ZR5V,Unknown,,Unknown,Good,2026-03-26,2026-05-13,IT Administrator,-
255,Phone,SAMSUNG GALAXY A07 BLACK 4/64,003/B/III/2026,R9RL203ZD9Z,Unknown,,Unknown,Good,2026-03-26,2026-05-13,IT Administrator,-
256,Phone,SAMSUNG GALAXY A07 BLACK 4/128,001-B/IV/2026,R9RL4022KNH,Unknown,,Unknown,Good,2026-04-27,2026-05-06,IT Administrator,-
